Note: Includes top 1000 assets by bandwidth during the date range selected.
Asset Name,Bandwidth (GB),File Size (MB),Loaded Times
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06769,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06766,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06768,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06767,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06767,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06765,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06764,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06764,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06764,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06763,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06761,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06761,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06763,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06762,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06761,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06761,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06761,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06759,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06759,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06758,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06757,1
/corehome-e8c72b.schunk.2038439e9edcc2b6.js,0.00007,0.06757,1
